#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2026p002253,2026-01-01T20:00:56.2Z,-39.58,176.51,23,5,5,1.22,1.15,.9426
2026p002351,2026-01-01T20:53:17.9Z,-38.45,176.68,49,3,5,1.44,1.54,1.069
2026p002362,2026-01-01T20:59:12.4Z,-39.30,175.50,4,5,4,0.75,0.23,.3066
2026p002398,2026-01-01T21:18:15.4Z,-39.25,177.26,27,4,4,1.64,1.43,.8719
2026p002454,2026-01-01T21:46:33.7Z,-33.67,-179.34,357,3,3,3.87,2.97,.7674
2026p002466,2026-01-01T21:54:04.1Z,-38.90,177.84,10,21,21,2.54,2.31,.9094
2026p002496,2026-01-01T22:10:02.6Z,-35.07,179.57,186,13,13,3.72,3.04,.8172
2026p002535,2026-01-01T22:30:55.1Z,-38.37,176.19,4,9,7,1.46,1.38,.9452
2026p002639,2026-01-01T23:26:25.1Z,-38.33,176.76,30,5,6,1.75,1.47,.8400
2026p002738,2026-01-02T00:19:03.6Z,-44.64,167.81,32,1,1,1.32,1.61,1.219
2026p002764,2026-01-02T00:32:57.1Z,-44.80,168.05,9,1,3,1.81,1.85,1.022
2026p002834,2026-01-02T01:08:01.1Z,-35.02,-179.35,100,11,11,4.02,3.50,.8706
2026p002846,2026-01-02T01:16:25.8Z,-40.16,173.60,159,5,7,2.20,2.19,.9954
2026p002872,2026-01-02T01:30:18.2Z,-39.30,176.46,36,7,6,1.27,1.30,1.023
2026p002971,2026-01-02T02:23:22.5Z,-38.84,177.93,23,4,7,1.48,1.34,.9054
2026p002995,2026-01-02T02:36:11.1Z,-38.65,176.09,5,12,12,2.00,1.87,.9350
2026p003081,2026-01-02T03:22:07.3Z,-36.76,177.05,246,42,43,3.49,3.01,.8624
2026p003095,2026-01-02T03:29:12.2Z,-38.94,177.19,26,5,5,1.34,1.21,.9029
2026p003225,2026-01-02T04:38:24.1Z,-38.30,176.02,146,29,34,2.57,2.43,.9455
2026p003241,2026-01-02T04:47:13.8Z,-39.49,175.69,11,7,7,1.31,1.06,.8091
2026p003287,2026-01-02T05:11:45.5Z,-39.30,175.50,6,3,3,0.09,-0.24,-2.66
2026p003311,2026-01-02T05:24:33.3Z,-37.39,176.84,151,12,12,2.45,2.39,.9755
2026p003390,2026-01-02T06:06:12.7Z,-43.17,170.94,5,1,2,1.29,2.12,1.643
2026p003400,2026-01-02T06:11:57.1Z,-40.28,176.64,15,8,10,1.73,1.55,.8959
2026p003403,2026-01-02T06:13:38.4Z,-38.71,176.45,57,20,18,2.05,2.11,1.029
2026p003432,2026-01-02T06:28:49.3Z,-38.46,175.91,151,24,31,2.53,2.42,.9565
2026p003450,2026-01-02T06:38:10.8Z,-37.06,176.99,244,1,1,2.76,2.69,.9746
2026p003452,2026-01-02T06:39:48.0Z,-39.51,175.73,14,3,4,0.71,0.62,.8732
2026p003461,2026-01-02T06:44:14.0Z,-37.98,175.98,145,6,6,2.15,2.15,1.000
2026p003473,2026-01-02T06:50:48.7Z,-39.90,176.62,32,4,5,1.08,1.18,1.092
2026p003531,2026-01-02T07:21:43.6Z,-44.46,167.84,5,2,2,2.16,2.12,.9814
2026p003538,2026-01-02T07:25:13.4Z,-40.90,175.34,6,5,5,2.26,1.99,.8805
2026p003657,2026-01-02T08:28:57.0Z,-39.68,175.01,30,1,1,0.84,0.55,.6547
2026p003684,2026-01-02T08:43:00.9Z,-41.23,172.55,154,1,3,2.82,2.13,.7553
2026p003772,2026-01-02T09:30:12.4Z,-43.70,171.09,4,7,5,1.80,1.60,.8888
2026p003780,2026-01-02T09:34:21.6Z,-39.24,174.95,15,3,2,1.29,0.74,.5736
2026p003801,2026-01-02T09:46:22.0Z,-39.26,174.91,20,4,3,1.20,0.86,.7166
2026p003836,2026-01-02T10:03:58.5Z,-41.45,173.29,57,4,4,1.98,1.91,.9646
2026p003853,2026-01-02T10:13:22.3Z,-37.20,178.77,12,12,12,2.76,2.69,.9746
2026p003913,2026-01-02T10:45:12.0Z,-37.21,178.80,12,6,7,2.10,2.01,.9571
2026p003924,2026-01-02T10:51:11.0Z,-39.46,176.84,24,7,7,1.69,1.49,.8816
2026p003961,2026-01-02T11:10:43.2Z,-40.42,174.16,54,6,6,1.78,1.67,.9382
2026p003984,2026-01-02T11:23:03.9Z,-39.73,176.79,33,10,12,1.72,1.57,.9127
2026p004037,2026-01-02T11:51:05.8Z,-40.91,176.02,18,6,6,1.08,1.03,.9537
2026p004082,2026-01-02T12:15:03.5Z,-40.90,176.01,20,13,13,1.97,1.86,.9441
2026p004105,2026-01-02T12:27:39.7Z,-39.14,177.45,23,1,2,1.35,1.45,1.074
2026p004107,2026-01-02T12:28:16.1Z,-39.29,175.50,7,9,8,0.92,0.61,.6630
2026p004146,2026-01-02T12:49:10.6Z,-39.51,175.71,11,4,4,0.58,0.46,.7931
2026p004159,2026-01-02T12:56:17.2Z,-38.34,175.94,115,4,4,1.64,1.66,1.012
2026p004164,2026-01-02T12:58:40.6Z,-38.65,176.08,5,7,6,1.98,1.62,.8181
2026p004171,2026-01-02T13:04:09.0Z,-39.92,176.51,23,8,9,1.49,1.38,.9261
2026p004211,2026-01-02T13:23:40.9Z,-40.27,173.56,144,26,25,2.62,2.44,.9312
2026p004236,2026-01-02T13:37:12.3Z,-39.52,174.52,130,6,5,1.58,1.42,.8987
2026p004241,2026-01-02T13:40:08.9Z,-41.06,174.78,40,3,3,1.19,1.21,1.016
2026p004242,2026-01-02T13:40:03.5Z,-42.15,173.58,5,4,3,1.76,1.59,.9034
2026p004278,2026-01-02T13:59:29.6Z,-41.53,173.31,68,2,2,1.84,1.81,.9836
2026p004281,2026-01-02T14:01:07.7Z,-40.89,175.64,19,5,5,1.17,1.16,.9914
2026p004311,2026-01-02T14:17:05.4Z,-43.41,172.61,5,4,4,2.12,1.87,.8820
2026p004316,2026-01-02T14:19:49.7Z,-41.56,174.42,13,6,6,1.86,1.65,.8870
2026p004327,2026-01-02T14:25:29.0Z,-37.89,176.46,147,3,3,2.10,2.16,1.028
2026p004337,2026-01-02T14:31:23.1Z,-38.12,176.13,170,2,2,1.94,1.88,.9690
2026p004399,2026-01-02T15:04:05.7Z,-38.85,177.92,32,6,7,1.46,1.48,1.013
2026p004402,2026-01-02T15:05:38.8Z,-37.68,176.98,4,5,5,2.14,1.93,.9018
2026p004409,2026-01-02T15:09:18.2Z,-41.08,175.77,20,4,4,1.27,1.33,1.047
2026p004427,2026-01-02T15:19:13.4Z,-38.71,177.81,27,13,15,2.20,2.14,.9727
2026p004510,2026-01-02T16:03:00.6Z,-40.30,174.73,12,3,3,1.72,1.52,.8837
2026p004567,2026-01-02T16:33:40.6Z,-40.59,175.89,21,7,8,1.24,1.25,1.008
2026p004589,2026-01-02T16:45:06.9Z,-38.40,175.81,146,6,6,1.97,1.94,.9847
2026p004672,2026-01-02T17:29:37.8Z,-39.15,175.15,124,56,54,2.94,2.91,.9897
