SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -46.1927, 166.1690, 24828.0856, 2.84530, 23.50, 34.95, 160.50, 5000.000, 5000.000
1, -46.2072, 166.2170, 27822.0260, 2.27927, 23.50, 36.77, 158.26, 5000.000, 5000.000
1, -46.2214, 166.2640, 30947.8406, 1.65754, 23.50, 38.67, 152.02, 5000.000, 5000.000
1, -46.2352, 166.3100, 34206.8576, 1.08850, 23.50, 40.65, 139.17, 5000.000, 5000.000
1, -46.2486, 166.3540, 37600.6372, 0.65841, 23.50, 42.72, 115.80, 5000.000, 5000.000
1, -46.2615, 166.3970, 41129.8659, 0.40646, 23.50, 44.85, 77.83, 5000.000, 5000.000
1, -46.2740, 166.4380, 44791.1578, 0.30967, 23.50, 47.03, 32.31, 5000.000, 5000.000
1, -46.2860, 166.4780, 48578.5848, 0.22800, 23.50, 49.20, 359.40, 5000.000, 5000.000
1, -46.2975, 166.5150, 52485.7186, 0.03116, 23.50, 51.34, 159.92, 5000.000, 5000.000
1, -46.0235, 165.7720, 6350.7757, 0.60689, 23.50, 13.37, 153.42, 5000.000, 5000.000
1, -46.0408, 165.8290, 7906.5447, 1.37227, 23.50, 18.13, 151.13, 5000.000, 5000.000
1, -46.0576, 165.8850, 9769.2467, 2.19385, 23.50, 21.87, 150.62, 5000.000, 5000.000
1, -46.0741, 165.9390, 11871.7091, 2.95177, 23.50, 24.86, 151.21, 5000.000, 5000.000
1, -46.0902, 165.9920, 14167.4869, 3.54606, 23.50, 27.33, 152.54, 5000.000, 5000.000
1, -46.1060, 166.0440, 16625.7292, 3.90273, 23.50, 29.45, 154.35, 5000.000, 5000.000
1, -46.1214, 166.0960, 19227.8781, 3.97931, 23.50, 31.36, 156.29, 5000.000, 5000.000
1, -46.1366, 166.1460, 21963.4445, 3.76937, 23.50, 33.17, 157.83, 5000.000, 5000.000
1, -46.1514, 166.1950, 24828.0856, 3.30612, 23.50, 34.95, 158.12, 5000.000, 5000.000
1, -46.1660, 166.2430, 27822.0260, 2.66541, 23.50, 36.77, 155.78, 5000.000, 5000.000
1, -46.1801, 166.2900, 30947.8406, 1.96420, 23.50, 38.67, 148.71, 5000.000, 5000.000
1, -46.1940, 166.3350, 34206.8576, 1.34133, 23.50, 40.65, 134.00, 5000.000, 5000.000
1, -46.2074, 166.3800, 37600.6372, 0.90211, 23.50, 42.72, 109.58, 5000.000, 5000.000
1, -46.2203, 166.4230, 41129.8659, 0.64121, 23.50, 44.85, 78.24, 5000.000, 5000.000
1, -46.2328, 166.4640, 44791.1578, 0.46542, 23.50, 47.03, 45.36, 5000.000, 5000.000
1, -46.2448, 166.5030, 48578.5848, 0.28678, 23.50, 49.20, 16.00, 5000.000, 5000.000
1, -46.2562, 166.5410, 52485.7186, 0.04000, 23.50, 51.34, 124.57, 5000.000, 5000.000
1, -45.9823, 165.7980, 6350.7757, 0.66131, 23.50, 13.37, 150.31, 5000.000, 5000.000
1, -45.9996, 165.8550, 7906.5447, 1.50340, 23.50, 18.13, 147.84, 5000.000, 5000.000
1, -46.0164, 165.9100, 9769.2467, 2.41255, 23.50, 21.87, 147.09, 5000.000, 5000.000
1, -46.0328, 165.9650, 11871.7091, 3.25400, 23.50, 24.86, 147.56, 5000.000, 5000.000
1, -46.0489, 166.0180, 14167.4869, 3.91605, 23.50, 27.33, 148.92, 5000.000, 5000.000
1, -46.0647, 166.0700, 16625.7292, 4.31686, 23.50, 29.45, 150.90, 5000.000, 5000.000
1, -46.0802, 166.1210, 19227.8781, 4.41011, 23.50, 31.36, 153.17, 5000.000, 5000.000
1, -46.0953, 166.1710, 21963.4445, 4.18879, 23.50, 33.17, 155.19, 5000.000, 5000.000
1, -46.1102, 166.2210, 24828.0856, 3.68758, 23.50, 34.95, 156.05, 5000.000, 5000.000
1, -46.1247, 166.2690, 27822.0260, 2.98664, 23.50, 36.77, 154.18, 5000.000, 5000.000
1, -46.1389, 166.3160, 30947.8406, 2.21566, 23.50, 38.67, 147.15, 5000.000, 5000.000
1, -46.1527, 166.3610, 34206.8576, 1.54100, 23.50, 40.65, 131.68, 5000.000, 5000.000
1, -46.1661, 166.4050, 37600.6372, 1.09227, 23.50, 42.72, 106.58, 5000.000, 5000.000
1, -46.1791, 166.4480, 41129.8659, 0.83263, 23.50, 44.85, 77.64, 5000.000, 5000.000
1, -46.1915, 166.4900, 44791.1578, 0.61289, 23.50, 47.03, 50.07, 5000.000, 5000.000
1, -46.2035, 166.5290, 48578.5848, 0.35670, 23.50, 49.20, 24.70, 5000.000, 5000.000
1, -46.2150, 166.5670, 52485.7186, 0.05425, 23.50, 51.34, 101.88, 5000.000, 5000.000
1, -45.9411, 165.8240, 6350.7757, 0.69496, 23.50, 13.37, 146.73, 5000.000, 5000.000
1, -45.9583, 165.8810, 7906.5447, 1.59204, 23.50, 18.13, 144.17, 5000.000, 5000.000
1, -45.9752, 165.9360, 9769.2467, 2.56659, 23.50, 21.87, 143.19, 5000.000, 5000.000
1, -45.9916, 165.9910, 11871.7091, 3.47127, 23.50, 24.86, 143.56, 5000.000, 5000.000
1, -46.0077, 166.0440, 14167.4869, 4.18418, 23.50, 27.33, 144.91, 5000.000, 5000.000
1, -46.0235, 166.0960, 16625.7292, 4.61688, 23.50, 29.45, 147.03, 5000.000, 5000.000
1, -46.0389, 166.1470, 19227.8781, 4.72032, 23.50, 31.36, 149.64, 5000.000, 5000.000
1, -46.0541, 166.1970, 21963.4445, 4.48834, 23.50, 33.17, 152.26, 5000.000, 5000.000
1, -46.0690, 166.2460, 24828.0856, 3.95786, 23.50, 34.95, 153.97, 5000.000, 5000.000
1, -46.0835, 166.2940, 27822.0260, 3.21029, 23.50, 36.77, 153.06, 5000.000, 5000.000
1, -46.0977, 166.3410, 30947.8406, 2.37967, 23.50, 38.67, 146.77, 5000.000, 5000.000
1, -46.1115, 166.3870, 34206.8576, 1.65307, 23.50, 40.65, 131.18, 5000.000, 5000.000
1, -46.1249, 166.4310, 37600.6372, 1.19465, 23.50, 42.72, 104.95, 5000.000, 5000.000
1, -46.1378, 166.4740, 41129.8659, 0.95497, 23.50, 44.85, 76.08, 5000.000, 5000.000
1, -46.1503, 166.5150, 44791.1578, 0.72624, 23.50, 47.03, 50.73, 5000.000, 5000.000
1, -46.1623, 166.5550, 48578.5848, 0.42145, 23.50, 49.20, 27.99, 5000.000, 5000.000
1, -46.1738, 166.5930, 52485.7186, 0.06904, 23.50, 51.34, 85.80, 5000.000, 5000.000
1, -45.8998, 165.8490, 6350.7757, 0.70892, 23.50, 13.37, 142.74, 5000.000, 5000.000
1, -45.9171, 165.9060, 7906.5447, 1.63969, 23.50, 18.13, 140.20, 5000.000, 5000.000
1, -45.9339, 165.9620, 9769.2467, 2.65721, 23.50, 21.87, 139.07, 5000.000, 5000.000
1, -45.9504, 166.0160, 11871.7091, 3.60421, 23.50, 24.86, 139.31, 5000.000, 5000.000
1, -45.9665, 166.0700, 14167.4869, 4.35042, 23.50, 27.33, 140.60, 5000.000, 5000.000
1, -45.9823, 166.1220, 16625.7292, 4.80137, 23.50, 29.45, 142.75, 5000.000, 5000.000
1, -45.9977, 166.1730, 19227.8781, 4.90524, 23.50, 31.36, 145.62, 5000.000, 5000.000
1, -46.0129, 166.2230, 21963.4445, 4.65728, 23.50, 33.17, 148.84, 5000.000, 5000.000
1, -46.0277, 166.2720, 24828.0856, 4.09929, 23.50, 34.95, 151.55, 5000.000, 5000.000
1, -46.0423, 166.3200, 27822.0260, 3.31541, 23.50, 36.77, 151.98, 5000.000, 5000.000
1, -46.0564, 166.3670, 30947.8406, 2.43798, 23.50, 38.67, 147.01, 5000.000, 5000.000
1, -46.0703, 166.4130, 34206.8576, 1.66409, 23.50, 40.65, 131.77, 5000.000, 5000.000
1, -46.0836, 166.4570, 37600.6372, 1.19934, 23.50, 42.72, 103.81, 5000.000, 5000.000
1, -46.0966, 166.5000, 41129.8659, 1.00122, 23.50, 44.85, 73.54, 5000.000, 5000.000
1, -46.1091, 166.5410, 44791.1578, 0.79597, 23.50, 47.03, 49.05, 5000.000, 5000.000
1, -46.1211, 166.5810, 48578.5848, 0.47185, 23.50, 49.20, 28.05, 5000.000, 5000.000
1, -46.1325, 166.6190, 52485.7186, 0.08289, 23.50, 51.34, 72.92, 5000.000, 5000.000
1, -45.8586, 165.8750, 6350.7757, 0.70637, 23.50, 13.37, 138.49, 5000.000, 5000.000
1, -45.8758, 165.9320, 7906.5447, 1.65180, 23.50, 18.13, 136.14, 5000.000, 5000.000
1, -45.8927, 165.9880, 9769.2467, 2.69184, 23.50, 21.87, 134.94, 5000.000, 5000.000
1, -45.9091, 166.0420, 11871.7091, 3.66261, 23.50, 24.86, 135.07, 5000.000, 5000.000
1, -45.9252, 166.0950, 14167.4869, 4.42761, 23.50, 27.33, 136.24, 5000.000, 5000.000
1, -45.9410, 166.1480, 16625.7292, 4.88680, 23.50, 29.45, 138.31, 5000.000, 5000.000
1, -45.9565, 166.1990, 19227.8781, 4.98341, 23.50, 31.36, 141.27, 5000.000, 5000.000
1, -45.9716, 166.2490, 21963.4445, 4.71167, 23.50, 33.17, 144.94, 5000.000, 5000.000
1, -45.9865, 166.2980, 24828.0856, 4.12055, 23.50, 34.95, 148.65, 5000.000, 5000.000
1, -46.0010, 166.3460, 27822.0260, 3.30437, 23.50, 36.77, 150.64, 5000.000, 5000.000
1, -46.0152, 166.3930, 30947.8406, 2.39495, 23.50, 38.67, 147.45, 5000.000, 5000.000
1, -46.0290, 166.4390, 34206.8576, 1.58696, 23.50, 40.65, 133.07, 5000.000, 5000.000
1, -46.0424, 166.4830, 37600.6372, 1.12282, 23.50, 42.72, 102.91, 5000.000, 5000.000
1, -46.0554, 166.5260, 41129.8659, 0.98200, 23.50, 44.85, 70.42, 5000.000, 5000.000
1, -46.0678, 166.5670, 44791.1578, 0.82132, 23.50, 47.03, 46.40, 5000.000, 5000.000
1, -46.0798, 166.6060, 48578.5848, 0.50138, 23.50, 49.20, 26.70, 5000.000, 5000.000
1, -46.0913, 166.6440, 52485.7186, 0.09515, 23.50, 51.34, 63.10, 5000.000, 5000.000
1, -45.8174, 165.9010, 6350.7757, 0.69174, 23.50, 13.37, 134.17, 5000.000, 5000.000
1, -45.8346, 165.9580, 7906.5447, 1.63559, 23.50, 18.13, 132.24, 5000.000, 5000.000
1, -45.8515, 166.0140, 9769.2467, 2.68086, 23.50, 21.87, 131.09, 5000.000, 5000.000
1, -45.8679, 166.0680, 11871.7091, 3.66039, 23.50, 24.86, 131.19, 5000.000, 5000.000
1, -45.8840, 166.1210, 14167.4869, 4.43429, 23.50, 27.33, 132.25, 5000.000, 5000.000
1, -45.8998, 166.1730, 16625.7292, 4.89770, 23.50, 29.45, 134.16, 5000.000, 5000.000
1, -45.9152, 166.2240, 19227.8781, 4.98578, 23.50, 31.36, 137.02, 5000.000, 5000.000
1, -45.9304, 166.2750, 21963.4445, 4.68553, 23.50, 33.17, 140.90, 5000.000, 5000.000
1, -45.9453, 166.3240, 24828.0856, 4.05228, 23.50, 34.95, 145.42, 5000.000, 5000.000
1, -45.9598, 166.3720, 27822.0260, 3.20202, 23.50, 36.77, 148.98, 5000.000, 5000.000
1, -45.9740, 166.4190, 30947.8406, 2.27673, 23.50, 38.67, 147.87, 5000.000, 5000.000
1, -45.9878, 166.4640, 34206.8576, 1.45796, 23.50, 40.65, 134.92, 5000.000, 5000.000
1, -46.0012, 166.5090, 37600.6372, 1.00260, 23.50, 42.72, 102.81, 5000.000, 5000.000
1, -46.0141, 166.5510, 41129.8659, 0.91647, 23.50, 44.85, 68.06, 5000.000, 5000.000
1, -46.0266, 166.5930, 44791.1578, 0.80162, 23.50, 47.03, 44.44, 5000.000, 5000.000
1, -46.0386, 166.6320, 48578.5848, 0.50160, 23.50, 49.20, 25.60, 5000.000, 5000.000
1, -46.0500, 166.6700, 52485.7186, 0.10389, 23.50, 51.34, 57.41, 5000.000, 5000.000
1, -45.7761, 165.9270, 6350.7757, 0.66909, 23.50, 13.37, 129.94, 5000.000, 5000.000
1, -45.7934, 165.9840, 7906.5447, 1.59715, 23.50, 18.13, 128.63, 5000.000, 5000.000
1, -45.8102, 166.0390, 9769.2467, 2.63263, 23.50, 21.87, 127.75, 5000.000, 5000.000
1, -45.8267, 166.0940, 11871.7091, 3.60783, 23.50, 24.86, 127.97, 5000.000, 5000.000
1, -45.8428, 166.1470, 14167.4869, 4.38221, 23.50, 27.33, 129.02, 5000.000, 5000.000
