MeasurementNumber,NZTM-mE,NZTM-mN,CO2
750,1885082,5770838,27.09
751,1885074,5770810,129.01
752,1885039,5770813,49.99
753,1884997,5770783,180.62
754,1885026,5770760,9.68
755,1885068,5770710,27.09
756,1885091,5770717,23.22
757,1885124,5770757,16.77
758,1885153,5770786,42.57
759,1885192,5770822,41.61
760,1885056,5770895,3.23
761,1885027,5770907,68.70
762,1885026,5770909,45.15
763,1885016,5770871,79.34
764,1884924,5770933,90.95
765,1884878,5770888,6.13
766,1884857,5770843,1.27
767,1884807,5770779,98.53
768,1884762,5770779,1.59
769,1884743,5770738,3.81
770,1884785,5770838,1.27
771,1884826,5770742,44.50
772,1884865,5770752,9.22
773,1884871,5770816,7.63
774,1884947,5770839,133.49
775,1884969,5770964,2.86
776,1884953,5770988,13.35
777,1884980,5770993,29.88
778,1884998,5770947,14.94
779,1885037,5770967,4.13
780,1885072,5770936,5.72
781,1884981,5771045,12.08
782,1884944,5771065,4.13
783,1884780,5770933,9.54
784,1884607,5770906,7.31
785,1884523,5770835,16.21
786,1884604,5770731,6.36
787,1884687,5770662,4.13
788,1884730,5770668,2.22
789,1884819,5770720,1.27
790,1884823,5770849,79.46
791,1884848,5770886,38.14
792,1884820,5770912,1.27
793,1884819,5770954,6.99
794,1884788,5771067,23.52
795,1884717,5771028,13.03
796,1883972,5776269,6.90
797,1884053,5776064,1.25
798,1883947,5775949,1.25
799,1883929,5775718,1.25
800,1884078,5775898,12.54
801,1884146,5775596,8.15
802,1883801,5775102,7.21
803,1883981,5775321,10.97
804,1884308,5775412,4.70
805,1884230,5775286,1.25
806,1884120,5775126,6.90
807,1883985,5774955,10.03
808,1883990,5774870,1.25
809,1883898,5774698,1.25
810,1883851,5774484,1.25
811,1884152,5774817,2.82
812,1883881,5774117,17.87
813,1883909,5774226,1.25
814,1884071,5774234,1.25
815,1884006,5774418,1.25
816,1883996,5774587,1.25
817,1884118,5774705,1.25
818,1884135,5774315,1.25
819,1883712,5774153,1.25
820,1884345,5773925,1.57
821,1884165,5773776,1.25
822,1884489,5773671,17.87
823,1884038,5773600,1.25
824,1883826,5773786,2.51
825,1884170,5773499,1.25
826,1884288,5773295,2.51
827,1884457,5773178,2.19
828,1884004,5773339,2.51
829,1883719,5773493,8.15
830,1883801,5773191,1.25
831,1884098,5773001,5.64
832,1883912,5772852,4.39
833,1883872,5772610,7.53
834,1883987,5772198,1.57
835,1884165,5772192,9.72
836,1884319,5772398,2.51
837,1884527,5772014,6.90
838,1884648,5771850,9.41
839,1883958,5772085,43.19
840,1884091,5771616,3.70
841,1883810,5771387,3.70
842,1883837,5771683,1.23
843,1883984,5771215,5.86
844,1883710,5770993,6.48
845,1884119,5771072,19.13
846,1883963,5770944,1.23
847,1884100,5770851,1.54
848,1884162,5770503,3.08
849,1885014,5771250,13.57
850,1885284,5771438,86.38
851,1885328,5771340,14.50
852,1885516,5771375,2.16
853,1885801,5771395,30.85
854,1885751,5771250,3.70
855,1885724,5771128,27.76
856,1885793,5771047,45.96
857,1885518,5770867,5.24
858,1885101,5771229,26.53
859,1884628,5770995,1.23
860,1884530,5770915,9.25
861,1884443,5770778,1.23
862,1884360,5770632,5.55
863,1884357,5770423,18.20
864,1884345,5770237,4.70
865,1884369,5769958,9.39
866,1884528,5769639,12.52
867,1884880,5769786,1.25
868,1884948,5769934,1.25
869,1885006,5769930,1.25
870,1885122,5770005,4.38
871,1885178,5770000,1.25
872,1884864,5769975,7.83
873,1884843,5770019,3.44
874,1884710,5770051,1.25
875,1884542,5769971,1.25
876,1884483,5770091,6.57
877,1884816,5770240,5.95
878,1885011,5770304,1.25
879,1885079,5770228,6.57
880,1885134,5770420,6.89
881,1885162,5770624,18.47
882,1885211,5770664,15.96
883,1885230,5770578,4.07
884,1885176,5770409,1.25
885,1885297,5770451,4.07
886,1885536,5770507,4.38
887,1885707,5770553,3.44
888,1885681,5770731,1.88
889,1885916,5770883,10.64
890,1886026,5771058,14.09
891,1886079,5771015,4.07
892,1886289,5770683,9.70
893,1886153,5770602,5.95
894,1885953,5770493,4.38
895,1885710,5770495,14.09
896,1885365,5770423,5.32
897,1885243,5770301,3.76
898,1885230,5770218,27.23
899,1885091,5770119,2.50
900,1884983,5770067,1.88
901,1887096,5773014,1.26
902,1887012,5773077,8.50
903,1886930,5773152,1.26
904,1886741,5773276,22.68
905,1886732,5773223,21.10
906,1886644,5773268,7.56
907,1886867,5773129,28.03
908,1886797,5773664,1.26
909,1886673,5773599,1.26
910,1886658,5773601,1174.83
911,1886608,5773604,1.26
912,1886579,5773597,19.21
913,1886514,5773624,2.52
914,1886460,5773629,2.83
915,1886435,5773630,5.04
916,1886398,5773639,8.82
917,1886401,5773610,4.41
918,1886446,5773600,1.26
919,1886458,5773592,1.26
920,1886430,5773589,66.14
921,1886425,5773573,6.93
922,1886460,5773545,8.50
923,1886469,5773625,4.72
924,1886519,5773590,3.15
925,1886576,5773586,4.72
926,1886564,5773558,1344.91
927,1886604,5773481,1.26
928,1886644,5773452,3.70
929,1886660,5773449,6.16
930,1886620,5773455,1.23
931,1886566,5773484,14.49
932,1886514,5773481,271.22
933,1886520,5773510,19.11
934,1886562,5773442,261.98
935,1886579,5773419,8.01
936,1886580,5773366,807.50
937,1886559,5773351,8.32
938,1886501,5773372,690.38
939,1886461,5773397,1.54
940,1886425,5773416,22.81
941,1886408,5773404,10.79
942,1886435,5773382,26.20
943,1886488,5773361,44.69
944,1886397,5773144,13.87
945,1886400,5773107,4.31
946,1886471,5773070,1.23
947,1886496,5772976,17.26
948,1886490,5772918,1.23
949,1886638,5773042,6.16
950,1886751,5772942,27.74
951,1886804,5773036,27.74
952,1886697,5773122,13.87
