MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
16032011128,1877516,5719849,13.7,24.0
16032011129,1877503,5719858,13.7,23.5
16032011130,1877500,5719874,7.7,22.0
16032011131,1877540,5719878,20.5,26.1
16032011132,1877531,5719883,539.2,24.5
16032011133,1877539,5719882,450.1,27.3
16032011134,1877534,5719879,26.7,25.4
16032011135,1877545,5719882,119.9,28.0
16032011136,1877544,5719889,713.8,24.2
16032011137,1877553,5719888,0.2,24.4
16032011138,1877547,5719878,4.2,25.1
16032011139,1877554,5719896,13.3,34.8
16032011140,1877573,5719905,6.0,26.5
17032011001,1877296,5720339,681.3,39.4
17032011002,1877289,5720338,86.0,2839.0
17032011003,1877295,5720330,309.1,26.5
17032011004,1877303,5720335,233.8,26.8
17032011005,1877312,5720321,21.6,27.2
17032011006,1877301,5720316,320.4,19.2
17032011007,1877311,5720309,95.0,22.0
17032011008,1877321,5720306,139.0,17.1
17032011009,1877335,5720306,21.6,20.4
17032011010,1877318,5720291,91.1,17.0
17032011011,1877327,5720267,62.2,17.6
17032011012,1877332,5720254,50.9,29.2
17032011013,1877331,5720275,22.3,18.6
17032011014,1877309,5720258,9.5,18.7
