This corresponds to Model B of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
    segment           lat             lon          depth(km)       slip(m)     risetime(s)    rupturetime(s)       strike           dip             rake         patchlength(m)     patchwidth(m)   
               1      -42.509638       173.27604       11.932746            2.91               2               16.15             248              61             120                  3000                3000
               1      -42.519794       173.24225       11.932746            2.93               2               14.54             248              61             120                  3000                3000
               1       -42.53003       173.20833       11.932746            2.96               2               12.94             248              61             120                  3000                3000
               1      -42.540166       173.17452       11.932746            2.98               2               11.34             248              61             120                  3000                3000
               1      -42.550292       173.14069       11.932746            2.99               2                9.74             248              61             120                  3000                3000
               1      -42.560499       173.10686       11.932746            2.99               2                8.16             248              61             120                  3000                3000
               1      -42.570605       173.07302       11.932746            2.98               2                6.59             248              61             120                  3000                3000
               1      -42.580791       173.03916       11.932746            2.96               2                5.04             248              61             120                  3000                3000
               1      -42.590877       173.00529       11.932746            2.93               2                3.57             248              61             120                  3000                3000
               1      -42.600954        172.9713       11.932746            2.91               2                2.29             248              61             120                  3000                3000
               1       -42.61111       172.93741       11.932746            2.85               2                1.73             248              61             120                  3000                3000
               1      -42.621166       172.90351       11.932746            2.82               2                2.44             248              61             120                  3000                3000
               1      -42.631303        172.8696       11.932746            2.75               2                3.76             248              61             120                  3000                3000
               1      -42.641339       172.83568       11.932746            2.67               2                5.25             248              61             120                  3000                3000
               1      -42.651365       172.80174       11.932746            2.63               2                 6.8             248              61             120                  3000                3000
               1      -42.661471       172.76768       11.932746            2.53               2                8.37             248              61             120                  3000                3000
               1      -42.671477       172.73373       11.932746            2.43               2                9.96             248              61             120                  3000                3000
               1      -42.681474       172.69976       11.932746            2.31               2               11.55             248              61             120                  3000                3000
               1       -42.69155       172.66578       11.932746            2.19               2               13.15             248              61             120                  3000                3000
               1      -42.701526        172.6318       11.932746            1.98               2               14.76             248              61             120                  3000                3000
               1      -42.711582        172.5978       11.932746            1.84               2               16.37             248              61             120                  3000                3000
               1       -42.35386       173.74136       14.556605            0.93               2               38.69             248              61             120                  3000                3000
               1      -42.364152       173.70773       14.556605            1.36               2               37.08             248              61             120                  3000                3000
               1      -42.374524       173.67409       14.556605            1.61               2               35.46             248              61             120                  3000                3000
               1      -42.384796       173.64044       14.556605            1.84               2               33.84             248              61             120                  3000                3000
               1      -42.395058       173.60678       14.556605            1.98               2               32.23             248              61             120                  3000                3000
               1        -42.4054        173.5731       14.556605            2.19               2               30.61             248              61             120                  3000                3000
               1      -42.415643       173.53942       14.556605            2.31               2               28.99             248              61             120                  3000                3000
               1      -42.425876        173.5056       14.556605            2.43               2               27.38             248              61             120                  3000                3000
               1      -42.436189       173.47189       14.556605            2.53               2               25.76             248              61             120                  3000                3000
               1      -42.446402       173.43817       14.556605            2.63               2               24.14             248              61             120                  3000                3000
               1      -42.456696       173.40445       14.556605            2.67               2               22.53             248              61             120                  3000                3000
               1      -42.466889       173.37071       14.556605            2.75               2               20.91             248              61             120                  3000                3000
               1      -42.477073       173.33695       14.556605            2.82               2               19.29             248              61             120                  3000                3000
               1      -42.487337       173.30307       14.556605            2.85               2               17.68             248              61             120                  3000                3000
               1      -42.497501        173.2693       14.556605            2.91               2               16.06             248              61             120                  3000                3000
               1      -42.507655       173.23551       14.556605            2.93               2               14.44             248              61             120                  3000                3000
               1      -42.517889       173.20172       14.556605            2.96               2               12.83             248              61             120                  3000                3000
               1      -42.528023       173.16791       14.556605            2.98               2               11.21             248              61             120                  3000                3000
               1      -42.538237        173.1341       14.556605            2.99               2                9.59             248              61             120                  3000                3000
               1      -42.548351       173.10015       14.556605            2.99               2                7.98             248              61             120                  3000                3000
               1      -42.558456       173.06631       14.556605            2.98               2                6.36             248              61             120                  3000                3000
               1       -42.56864       173.03246       14.556605            2.96               2                4.74             248              61             120                  3000                3000
               1      -42.578724        172.9986       14.556605            2.93               2                3.13             248              61             120                  3000                3000
               1      -42.588889       172.96472       14.556605            2.91               2                1.51             248              61             120                  3000                3000
               1      -42.598953       172.93084       14.556605            2.85               2                0.15             248              61             120                  3000                3000
               1      -42.609007       172.89695       14.556605            2.82               2                1.73             248              61             120                  3000                3000
               1      -42.619142       172.86292       14.556605            2.75               2                3.34             248              61             120                  3000                3000
