#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2025p052747,2025-01-20T12:24:11.1Z,-39.85,173.90,212,6,6,2.07,1.90,.9178
2025p052755,2025-01-20T12:28:18.1Z,-38.34,176.25,7,6,5,1.10,1.12,1.018
2025p052782,2025-01-20T12:42:25.8Z,-38.66,176.10,5,7,6,1.64,1.32,.8048
2025p052790,2025-01-20T12:47:06.2Z,-38.66,176.10,5,11,10,1.55,1.40,.9032
2025p052808,2025-01-20T12:56:13.5Z,-40.43,176.21,17,5,5,1.41,1.27,.9007
2025p052883,2025-01-20T13:36:26.5Z,-38.27,178.90,33,6,6,2.04,1.87,.9166
2025p052892,2025-01-20T13:40:52.8Z,-41.04,175.63,27,2,2,-0.01,0.25,-25.0
2025p052938,2025-01-20T14:05:41.8Z,-43.33,170.89,5,3,2,1.12,1.33,1.187
2025p052939,2025-01-20T14:06:25.2Z,-39.34,176.96,30,4,4,1.41,1.22,.8652
2025p052944,2025-01-20T14:09:02.0Z,-44.35,168.03,5,1,1,2.28,1.97,.8640
2025p052990,2025-01-20T14:33:04.2Z,-38.77,177.88,35,3,2,1.05,1.13,1.076
2025p052993,2025-01-20T14:35:07.4Z,-40.60,175.87,23,4,5,1.04,1.09,1.048
2025p053039,2025-01-20T14:59:34.3Z,-38.31,178.86,25,32,31,3.17,3.05,.9621
2025p053060,2025-01-20T15:10:36.7Z,-38.30,178.88,28,40,39,3.38,3.22,.9526
2025p053077,2025-01-20T15:19:48.4Z,-38.29,178.10,22,5,5,1.04,1.00,.9615
2025p053096,2025-01-20T15:29:37.5Z,-42.26,173.79,10,13,13,2.65,2.50,.9433
2025p053153,2025-01-20T15:59:54.9Z,-40.64,175.83,22,6,6,1.19,1.09,.9159
2025p053178,2025-01-20T16:14:52.4Z,-40.34,176.26,42,11,11,1.48,1.49,1.006
2025p053190,2025-01-20T16:19:52.7Z,-38.14,177.76,46,5,6,1.28,1.42,1.109
2025p053219,2025-01-20T16:35:12.8Z,-40.08,176.74,25,5,6,1.56,1.44,.9230
2025p053250,2025-01-20T16:51:43.1Z,-43.30,170.91,5,7,5,2.04,1.97,.9656
2025p053350,2025-01-20T17:44:56.3Z,-38.34,178.93,12,6,7,2.56,2.37,.9257
2025p053351,2025-01-20T17:45:45.7Z,-39.31,174.96,19,14,12,2.49,2.10,.8433
2025p053400,2025-01-20T18:11:43.0Z,-38.67,176.09,4,8,7,1.71,1.52,.8888
2025p053493,2025-01-20T19:01:15.6Z,-39.90,176.56,35,23,22,2.03,1.87,.9211
2025p053512,2025-01-20T19:11:20.8Z,-38.29,178.88,25,36,36,3.56,3.35,.9410
2025p053562,2025-01-20T19:38:00.3Z,-39.66,174.65,99,10,10,2.04,2.00,.9803
2025p053587,2025-01-20T19:51:11.0Z,-38.63,178.90,12,9,9,2.78,2.65,.9532
2025p053618,2025-01-20T20:07:44.3Z,-41.80,171.89,8,6,6,2.61,2.35,.9003
2025p053668,2025-01-20T20:34:28.1Z,-37.28,176.97,167,3,4,2.56,2.39,.9335
2025p053708,2025-01-20T20:56:02.7Z,-41.80,178.95,33,23,23,3.30,3.02,.9151
2025p053784,2025-01-20T21:36:58.5Z,-38.32,178.88,12,2,2,2.38,2.19,.9201
2025p053788,2025-01-20T21:38:54.3Z,-38.61,176.20,4,36,31,2.36,2.19,.9279
2025p053839,2025-01-20T22:06:04.6Z,-38.48,175.87,169,28,28,2.42,2.27,.9380
2025p054024,2025-01-20T23:44:11.1Z,-38.29,176.37,4,4,4,1.44,1.26,.8750
