This corresponds to Model A of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
     segment             lat                lon            depth (km)           slip (m)         rise_time (s)    rupture time (s)        strike              dip               rake         patch length (m)       patch width (m)    
               10          -42.51271          173.16540           11.25000              4.28916           3.31365           10.57604          240.30500          55.00000         106.58620           1867.86700             3051.93600
                6          -42.46997          173.10630            6.94444              0.42047           3.00000           10.58797          241.38950          70.00000         179.71420           1929.23500             2956.04900
               10          -42.49359          173.07560           18.75000              0.13335           3.00000           10.59473          240.30500          55.00000          90.00000           1867.86700             3051.93600
                6          -42.46180          173.10090            9.72222              0.04156           3.00000           10.59517          241.38950          70.00000         180.00000           1929.23500             2956.05000
               10          -42.59174          173.14350            1.25000              2.85027           3.00000           10.63431          240.30500          55.00000         110.94890           1867.86700             3051.93600
                6          -42.50152          173.07490            1.38889              1.54744           3.00000           10.69482          241.38950          70.00000         180.00000           1929.23500             2956.05000
                9          -42.50557          172.96940           21.25000              0.00000           3.00000           10.70816          247.32550          55.00000         180.00000           2076.67700             3051.93600
               16          -42.51236          173.17110            9.72222              1.76804           3.00000           10.79765          194.03620          60.00000          90.00000           1894.49800             3207.50200
                8          -42.50062          173.00950           21.25000              0.00000           3.00000           10.82471          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.50040          172.98550           21.25000              0.00000           3.00000           10.83635          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.49919          172.99320           21.25000              0.00000           3.00000           10.87153          247.32550          55.00000         180.00000           2076.67700             3051.93600
               10          -42.49233          173.12580           16.25000              1.28693           3.00000           10.87684          240.30500          55.00000          96.23041           1867.86700             3051.93600
               16          -42.49996          173.11510           18.05556              0.00000           3.00000           10.91359          194.03620          60.00000         180.00000           1894.49800             3207.50100
               10          -42.49869          173.15570           13.75000              2.90982           3.00000           10.96225          240.30500          55.00000         100.43690           1867.86700             3051.93600
                8          -42.50018          172.96150           21.25000              0.00000           3.00000           10.96711          267.98540          55.00000         180.00000           1975.09600             3051.93600
               16          -42.51215          173.08980           20.83333              0.00000           3.00000           11.04590          194.03620          60.00000         180.00000           1894.49800             3207.50200
                9          -42.49281          173.01690           21.25000              0.00000           3.00000           11.11022          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.49996          172.93750           21.25000              0.00000           3.00000           11.12552          267.98540          55.00000         180.00000           1975.09600             3051.93600
               16          -42.53281          173.18320            6.94444              2.13331           3.00000           11.13037          194.03620          60.00000          96.74185           1894.49800             3207.50100
               16          -42.48777          173.14040           15.27778              0.13813           3.00000           11.19628          194.03620          60.00000          90.00000           1894.49800             3207.50200
               16          -42.49190          173.15910           12.50000              0.78006           3.00000           11.20557          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.45362          173.09560           12.50000              0.00000           3.00000           11.20752          241.38950          70.00000         180.00000           1929.23500             2956.05000
               10          -42.54074          173.18480            6.25000              5.37863           3.71070           11.24920          240.30500          55.00000         117.51170           1867.86700             3051.93600
                6          -42.45304          173.06910           15.27778              0.00000           3.00000           11.25179          241.38950          70.00000         180.00000           1929.23500             2956.05000
                6          -42.46005          173.02160           18.05556              0.00000           3.00000           11.26422          241.38950          70.00000         180.00000           1929.23500             2956.04900
               10          -42.48595          173.09590           18.75000              0.27504           3.00000           11.29488          240.30500          55.00000          90.00000           1867.86700             3051.93600
               10          -42.56242          173.17420            3.75000              4.59917           3.43131           11.40353          240.30500          55.00000         120.69450           1867.86700             3051.93600
                8          -42.49973          172.91350           21.25000              0.00000           3.00000           11.42889          267.98540          55.00000         180.00000           1975.09600             3051.93600
               16          -42.52433          173.06450           23.61111              0.00000           3.00000           11.45411          194.03620          60.00000         180.00000           1894.49800             3207.50200
                9          -42.48643          173.04060           21.25000              0.00000           3.00000           11.46325          247.32550          55.00000         180.00000           2076.67700             3051.93600
                6          -42.45420          173.12200            9.72222              0.01054           3.00000           11.58257          241.38950          70.00000         180.00000           1929.23500             2956.05000
                6          -42.46237          173.12740            6.94444              0.33471           3.00000           11.69161          241.38950          70.00000         180.00000           1929.23500             2956.04900
               16          -42.49603          173.17770            9.72222              1.87986           3.00000           11.71014          194.03620          60.00000          90.00000           1894.49800             3207.50200
               10          -42.50506          173.18560           11.25000              4.46696           3.38163           11.72569          240.30500          55.00000         100.89360           1867.86700             3051.93600
                6          -42.47815          173.11170            4.16667              1.32905           3.00000           11.72617          241.38950          70.00000         179.01120           1929.23500             2956.05000
               16          -42.49582          173.09640           20.83333              0.00000           3.00000           11.73015          194.03620          60.00000         180.00000           1894.49800             3207.50200
               16          -42.48364          173.12170           18.05556              0.00000           3.00000           11.74053          194.03620          60.00000         180.00000           1894.49800             3207.50100
               10          -42.51907          173.19530            8.75000              5.32793           3.69317           11.74233          240.30500          55.00000         105.82980           1867.86700             3051.93600
               10          -42.48468          173.14600           16.25000              1.54704           3.00000           11.75892          240.30500          55.00000          94.45909           1867.86700             3051.93600
                6          -42.45246          173.04270           18.05556              0.00000           3.00000           11.79790          241.38950          70.00000         180.00000           1929.23500             2956.04900
                8          -42.49950          172.88950           21.25000              0.00000           3.00000           11.88655          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.48004          173.06430           21.25000              0.00000           3.00000           11.97430          247.32550          55.00000         180.00000           2076.67700             3051.93600
               10          -42.58409          173.16370            1.25000              4.00442           3.20177           11.99057          240.30500          55.00000         113.01030           1867.86700             3051.93600
               10          -42.49104          173.17590           13.75000              3.08577           3.00000           11.99593          240.30500          55.00000          96.29824           1867.86700             3051.93600
                6          -42.44545          173.09020           15.27778              0.00000           3.00000           12.00248          241.38950          70.00000         180.00000           1929.23500             2956.05000
                6          -42.49392          173.09600            1.38889              2.41402           3.00000           12.00437          241.38950          70.00000         180.00000           1929.23500             2956.05000
               16          -42.50801          173.07120           23.61111              0.00000           3.00000           12.01351          194.03620          60.00000         180.00000           1894.49800             3207.50200
               10          -42.47957          173.06600           21.25000              0.00000           3.00000           12.01620          240.30500          55.00000         180.00000           1867.86700             3051.93600
               16          -42.51648          173.18980            6.94444              2.83664           3.00000           12.02346          194.03620          60.00000          95.21168           1894.49800             3207.50100
               10          -42.47831          173.11610           18.75000              0.42653           3.00000           12.06021          240.30500          55.00000          90.00000           1867.86700             3051.93600
               16          -42.47144          173.14700           15.27778              0.10545           3.00000           12.07742          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.44602          173.11660           12.50000              0.00000           3.00000           12.09674          241.38950          70.00000         180.00000           1929.23500             2956.05000
               16          -42.47557          173.16560           12.50000              0.65259           3.00000           12.12079          194.03620          60.00000          90.00000           1894.49800             3207.50200
                9          -42.49077          172.96220           23.75000              0.00000           3.00000           12.21850          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.48466          172.98580           23.75000              0.00000           3.00000           12.35555          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.48440          172.98590           23.75000              0.00000           3.00000           12.36579          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.48488          173.00980           23.75000              0.00000           3.00000           12.36715          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.44487          173.06370           18.05556              0.00000           3.00000           12.41574          241.38950          70.00000         180.00000           1929.23500             2956.04900
                8          -42.48444          172.96180           23.75000              0.00000           3.00000           12.46795          267.98540          55.00000         180.00000           1975.09600             3051.93600
               16          -42.47950          173.10300           20.83333              0.00000           3.00000           12.47043          194.03620          60.00000         180.00000           1894.49800             3207.50200
                6          -42.44659          173.14310            9.72222              0.00000           3.00000           12.56467          241.38950          70.00000         180.00000           1929.23500             2956.05000
