SEGMENT,lat,lon,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,rise_time,RUPTURE TIME
1,-42.36597,173.74818,11932.746,0.93,248,61,120,3000,3000,2,38.73
1,-42.376264,173.71454,11932.746,1.36,248,61,120,3000,3000,2,37.12
1,-42.386547,173.6809,11932.746,1.61,248,61,120,3000,3000,2,35.5
1,-42.396912,173.64712,11932.746,1.84,248,61,120,3000,3000,2,33.89
1,-42.407176,173.61345,11932.746,1.98,248,61,120,3000,3000,2,32.27
1,-42.417521,173.57977,11932.746,2.19,248,61,120,3000,3000,2,30.66
1,-42.427765,173.54608,11932.746,2.31,248,61,120,3000,3000,2,29.04
1,-42.438,173.51238,11932.746,2.43,248,61,120,3000,3000,2,27.43
1,-42.448315,173.47867,11932.746,2.53,248,61,120,3000,3000,2,25.82
1,-42.45853,173.44494,11932.746,2.63,248,61,120,3000,3000,2,24.2
1,-42.468736,173.41109,11932.746,2.67,248,61,120,3000,3000,2,22.59
1,-42.479021,173.37734,11932.746,2.75,248,61,120,3000,3000,2,20.98
1,-42.489207,173.34359,11932.746,2.82,248,61,120,3000,3000,2,19.37
1,-42.499472,173.30982,11932.746,2.85,248,61,120,3000,3000,2,17.76
1,-42.509638,173.27604,11932.746,2.91,248,61,120,3000,3000,2,16.15
1,-42.519794,173.24225,11932.746,2.93,248,61,120,3000,3000,2,14.54
1,-42.53003,173.20833,11932.746,2.96,248,61,120,3000,3000,2,12.94
1,-42.540166,173.17452,11932.746,2.98,248,61,120,3000,3000,2,11.34
1,-42.550292,173.14069,11932.746,2.99,248,61,120,3000,3000,2,9.74
1,-42.560499,173.10686,11932.746,2.99,248,61,120,3000,3000,2,8.16
1,-42.570605,173.07302,11932.746,2.98,248,61,120,3000,3000,2,6.59
1,-42.580791,173.03916,11932.746,2.96,248,61,120,3000,3000,2,5.04
1,-42.590877,173.00529,11932.746,2.93,248,61,120,3000,3000,2,3.57
1,-42.600954,172.9713,11932.746,2.91,248,61,120,3000,3000,2,2.29
1,-42.61111,172.93741,11932.746,2.85,248,61,120,3000,3000,2,1.73
1,-42.621166,172.90351,11932.746,2.82,248,61,120,3000,3000,2,2.44
1,-42.631303,172.8696,11932.746,2.75,248,61,120,3000,3000,2,3.76
1,-42.641339,172.83568,11932.746,2.67,248,61,120,3000,3000,2,5.25
1,-42.651365,172.80174,11932.746,2.63,248,61,120,3000,3000,2,6.8
1,-42.661471,172.76768,11932.746,2.53,248,61,120,3000,3000,2,8.37
1,-42.671477,172.73373,11932.746,2.43,248,61,120,3000,3000,2,9.96
1,-42.681474,172.69976,11932.746,2.31,248,61,120,3000,3000,2,11.55
1,-42.69155,172.66578,11932.746,2.19,248,61,120,3000,3000,2,13.15
1,-42.701526,172.6318,11932.746,1.98,248,61,120,3000,3000,2,14.76
1,-42.711582,172.5978,11932.746,1.84,248,61,120,3000,3000,2,16.37
1,-42.35386,173.74136,14556.605,0.93,248,61,120,3000,3000,2,38.69
1,-42.364152,173.70773,14556.605,1.36,248,61,120,3000,3000,2,37.08
1,-42.374524,173.67409,14556.605,1.61,248,61,120,3000,3000,2,35.46
1,-42.384796,173.64044,14556.605,1.84,248,61,120,3000,3000,2,33.84
1,-42.395058,173.60678,14556.605,1.98,248,61,120,3000,3000,2,32.23
1,-42.4054,173.5731,14556.605,2.19,248,61,120,3000,3000,2,30.61
1,-42.415643,173.53942,14556.605,2.31,248,61,120,3000,3000,2,28.99
1,-42.425876,173.5056,14556.605,2.43,248,61,120,3000,3000,2,27.38
1,-42.436189,173.47189,14556.605,2.53,248,61,120,3000,3000,2,25.76
1,-42.446402,173.43817,14556.605,2.63,248,61,120,3000,3000,2,24.14
1,-42.456696,173.40445,14556.605,2.67,248,61,120,3000,3000,2,22.53
1,-42.466889,173.37071,14556.605,2.75,248,61,120,3000,3000,2,20.91
1,-42.477073,173.33695,14556.605,2.82,248,61,120,3000,3000,2,19.29
1,-42.487337,173.30307,14556.605,2.85,248,61,120,3000,3000,2,17.68
1,-42.497501,173.2693,14556.605,2.91,248,61,120,3000,3000,2,16.06
1,-42.507655,173.23551,14556.605,2.93,248,61,120,3000,3000,2,14.44
1,-42.517889,173.20172,14556.605,2.96,248,61,120,3000,3000,2,12.83
1,-42.528023,173.16791,14556.605,2.98,248,61,120,3000,3000,2,11.21
1,-42.538237,173.1341,14556.605,2.99,248,61,120,3000,3000,2,9.59
1,-42.548351,173.10015,14556.605,2.99,248,61,120,3000,3000,2,7.98
1,-42.558456,173.06631,14556.605,2.98,248,61,120,3000,3000,2,6.36
1,-42.56864,173.03246,14556.605,2.96,248,61,120,3000,3000,2,4.74
1,-42.578724,172.9986,14556.605,2.93,248,61,120,3000,3000,2,3.13
