SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -41.6781, 174.2462, 4000.0000, 0.86152, 234.00, 74.90, 155.38, 1035.762, 1000.000
1, -41.6761, 174.2444, 5000.0000, 0.98009, 234.00, 74.90, 156.70, 1035.762, 1000.000
1, -41.6741, 174.2425, 6000.0000, 1.06485, 234.00, 74.90, 157.90, 1035.762, 1000.000
1, -41.6721, 174.2407, 7000.0000, 1.11373, 234.00, 74.90, 159.13, 1035.762, 1000.000
1, -41.6701, 174.2389, 8000.0000, 1.12721, 234.00, 74.90, 160.44, 1035.762, 1000.000
1, -41.6681, 174.2371, 9000.0000, 1.10791, 234.00, 74.90, 161.82, 1035.762, 1000.000
1, -41.6661, 174.2353, 10000.0000, 1.06010, 234.00, 74.90, 163.26, 1035.762, 1000.000
1, -41.6641, 174.2335, 11000.0000, 0.98900, 234.00, 74.90, 164.75, 1035.762, 1000.000
1, -41.6620, 174.2317, 12000.0000, 0.90034, 234.00, 74.90, 166.26, 1035.762, 1000.000
1, -41.6600, 174.2298, 13000.0000, 0.79988, 234.00, 74.90, 167.78, 1035.762, 1000.000
1, -41.6580, 174.2280, 14000.0000, 0.69313, 234.00, 74.90, 169.29, 1035.762, 1000.000
1, -41.6560, 174.2262, 15000.0000, 0.58508, 234.00, 74.90, 170.77, 1035.762, 1000.000
1, -41.6540, 174.2244, 16000.0000, 0.48011, 234.00, 74.90, 172.23, 1035.762, 1000.000
1, -41.6520, 174.2226, 17000.0000, 0.38185, 234.00, 74.90, 173.65, 1035.762, 1000.000
1, -41.6500, 174.2208, 18000.0000, 0.29318, 234.00, 74.90, 175.02, 1035.762, 1000.000
1, -41.6480, 174.2190, 19000.0000, 0.21611, 234.00, 74.90, 176.32, 1035.762, 1000.000
1, -41.6459, 174.2171, 20000.0000, 0.15182, 234.00, 74.90, 177.54, 1035.762, 1000.000
1, -41.6439, 174.2153, 21000.0000, 0.10062, 234.00, 74.90, 178.62, 1035.762, 1000.000
1, -41.6419, 174.2135, 22000.0000, 0.06189, 234.00, 74.90, 179.49, 1035.762, 1000.000
